id,education,marriage,income,is_local,apply_amount,overdue_amount,credit_amount,overdue_months,overdue_number,extened_number,advanced_number,state
1,2,2,3,1,0,0,0,0,0,0,0,0
2,4,1,6,1,2000,0,138050,1,0,0,0,0
3,1,1,4,1,4400,0,69400,1,0,0,0,0
4,1,1,2,1,0,0,0,6,0,0,0,1
5,1,2,3,1,1000,0,1000,0,0,0,0,0
6,1,1,4,1,7400,0,7400,0,0,0,0,0
7,1,2,2,0,4888,0,9888,0,0,0,0,1
8,2,1,4,1,1092,569,16500,3,0,0,0,0
9,1,1,4,1,12000,108,342000,2,1,0,0,0
10,1,2,4,0,1000,0,4000,0,0,0,0,0
11,1,1,6,1,5000,0,19700,2,0,0,0,0
12,1,2,2,0,33000,0,33000,4,0,0,0,0
13,1,2,4,1,0,0,0,0,0,0,0,0
14,1,2,4,0,600,0,23984,0,0,0,0,0
15,1,1,2,1,1800,0,118509,0,0,0,0,0
16,2,1,5,0,170000,0,0,0,0,0,0,1
17,1,1,3,1,500,272,11300,15,0,0,0,0
18,1,3,4,1,4100,0,0,1,0,0,0,0
19,2,2,3,0,2000,0,23600,0,0,0,0,0
20,1,1,3,1,888,0,69388,0,0,0,0,1
21,1,1,4,1,6500,0,0,0,0,0,0,0
22,1,1,4,1,600,0,67500,0,0,0,0,0
23,1,1,3,1,5000,0,60000,0,0,0,0,1
24,1,3,4,1,10000,0,10000,5,0,0,0,0
25,1,1,2,1,500,0,23500,0,0,0,0,0
26,2,2,3,0,500,0,24700,2,0,0,0,0
27,1,1,5,0,57000,0,57000,3,0,0,0,0
28,1,1,4,1,0,0,0,0,0,0,0,0
29,1,3,3,0,0,0,0,2,0,0,0,1
30,1,1,4,0,0,0,0,0,0,0,0,0
31,2,2,3,0,141,0,61785,16,0,0,0,0
32,2,2,4,1,1000,0,21000,0,0,0,0,0
33,1,2,3,0,55,0,9490,14,0,0,0,0
34,1,1,4,0,30000,0,30000,9,0,0,0,0
35,2,1,4,1,999,0,0,0,0,0,0,0
36,1,2,3,1,3225,0,213600,0,0,0,0,0
37,1,1,3,1,5000,499,5000,8,0,0,0,0
38,1,1,5,0,20000,0,20000,4,0,0,0,0
39,1,1,4,1,3700,0,37499,4,2,0,0,0
40,1,1,3,1,2000,0,2000,0,0,0,0,0
41,1,1,4,1,4900,0,204900,0,0,0,0,0
42,2,1,5,0,600,0,43100,4,0,0,0,0
43,2,2,5,0,168,0,9463,0,0,0,0,0
44,1,1,5,1,0,0,0,0,0,0,0,0
45,1,2,7,0,2100,0,11280,4,1,0,0,0
46,2,1,5,0,0,0,0,21,0,0,0,1
47,1,2,4,1,3100,0,63840,3,0,0,0,0
48,1,1,4,0,0,0,0,0,0,0,0,0
49,1,1,4,0,1500,0,5520,0,0,0,0,0
50,1,1,2,1,1300,0,17150,6,0,0,0,0
51,1,1,3,1,0,0,0,0,0,0,0,0
52,1,1,4,1,0,0,0,0,0,0,0,0
53,1,2,3,0,2000,0,29300,1,0,0,0,0
54,1,1,4,1,0,0,0,1,0,0,0,1
55,4,2,3,1,1000,0,0,0,0,0,0,0
56,1,1,7,1,1300,0,289980,0,1,0,0,0
57,1,1,3,1,5000,0,5000,3,0,0,0,0
58,2,1,4,1,2000,0,72665,0,0,0,0,0
59,2,1,2,1,0,0,0,0,0,0,0,0
60,1,1,4,0,1000,0,56996,1,0,0,0,0
61,1,1,2,1,0,0,0,1,0,0,0,0
63,2,1,5,0,500,0,8218,12,0,0,0,1
64,1,2,3,0,0,0,0,10,0,0,0,0
65,4,1,4,1,600,0,27400,9,0,0,0,0
66,2,1,4,1,37000,0,290000,0,0,0,0,0
67,2,1,4,1,2500,0,123500,1,0,0,0,0
68,2,2,2,1,751,0,8200,0,1,0,0,1
69,1,2,3,1,0,0,0,0,0,0,0,0
70,1,1,3,1,3580,0,0,14,3,0,0,0
71,1,1,3,1,80000,0,80000,4,2,0,0,0
72,2,1,7,0,500,0,172100,1,0,0,0,0
73,1,1,4,1,1500,0,1500,4,0,0,0,0
74,1,1,3,1,0,0,0,2,0,0,0,0
75,1,2,3,0,850,0,8500,0,0,0,0,0
76,1,1,4,0,500,0,17500,1,0,0,0,0
77,2,1,4,1,0,0,0,0,0,0,0,0
78,1,1,3,0,0,0,0,1,0,0,0,0
79,1,2,3,1,2500,0,19500,2,0,0,0,0
80,2,2,3,0,2600,0,6600,1,0,0,0,1
81,1,2,3,1,0,0,0,0,0,0,0,0
82,1,1,3,1,60000,0,0,0,0,0,0,0
83,2,2,3,0,0,0,0,0,1,0,0,0
84,2,2,3,0,2000,0,2000,8,0,0,0,0
85,1,3,4,1,888,0,234700,0,0,0,0,0
86,1,2,2,1,500,0,9700,0,0,0,0,0
